Series_ID,Model,MAE,MSE,MAPE
Combined,MLP,285.0864834255642,126282.53625744085,0.03703742749014746
Combined,NHITS,238.90405951605902,89937.67352423404,0.03334195239013488
Combined,NBEATS,206.5577189127604,69182.506419758,0.028412574770988193
Combined,AutoMLP,234.84820556640625,83817.62691867683,0.03199431911377045
Combined,AutoNHITS,303.3164333767361,138954.2225858834,0.04221710549379511
Combined,AutoNBEATS,184.97210354275174,58196.21805898514,0.02461137839570953
Combined,TFT,370.45447116427954,234649.13579554856,0.048853049345004056
Combined,Autoformer,818.5413852267795,949818.8938441889,0.11766016772913816
Combined,PatchTST,223.57826063368054,84000.0510217448,0.029340033739775777
Combined,AutoTFT,285.0653347439236,124559.63012850616,0.037343234488862245
Combined,TimesNet,373.1491190592448,221145.6669625789,0.052358535614830025
Combined,AutoTimesNet,253.65740288628473,106011.9866001904,0.03470047530998185
BE,MLP,425.82419840494794,233058.5750286778,0.043304282763844605
BE,NHITS,270.40248616536456,105965.90265295903,0.027691318992622754
BE,NBEATS,241.0189412434896,88213.97721542914,0.024873003483509997
BE,AutoMLP,296.15159098307294,130070.02925135691,0.03025524911050072
BE,AutoNHITS,361.7545572916667,168229.30429959297,0.036925773172881426
BE,AutoNBEATS,236.403076171875,85940.38974928856,0.02415718047391265
BE,TFT,497.8814290364583,426591.3800185919,0.05140376225171641
BE,Autoformer,1119.9815470377605,1533772.3347898126,0.12158689106176383
BE,PatchTST,336.3379313151042,157790.42260098457,0.0341960647838457
BE,AutoTFT,301.45338948567706,139134.6387801369,0.030874598348307924
BE,TimesNet,399.41917928059894,241972.44688922664,0.0406232615259053
BE,AutoTimesNet,289.09889729817706,137596.09298398098,0.02971348286228574
PT,MLP,200.45684814453125,65522.91918847958,0.03317870874733106
PT,NHITS,286.0159403483073,127119.35350133479,0.0484454460356206
PT,NBEATS,231.23954264322916,84361.58088536064,0.038458465111535216
PT,AutoMLP,208.43855794270834,62667.17252354821,0.035337798013921694
PT,AutoNHITS,372.4488932291667,206311.224785616,0.06347417795066483
PT,AutoNBEATS,174.70895385742188,54902.8860754023,0.0281677555295223
PT,TFT,304.2640787760417,150099.92796462774,0.04932730494456431
PT,Autoformer,729.4505106608073,744461.3885777345,0.13310172968500297
PT,PatchTST,207.42760213216147,68693.8832115978,0.034703595266850705
PT,AutoTFT,277.550048828125,114814.23965086539,0.042486256336414174
PT,TimesNet,255.3104451497396,95260.52801039815,0.042346281589087646
PT,AutoTimesNet,221.62211100260416,76927.53498712182,0.03655081473843342
RO,MLP,228.97840372721353,80266.11455516517,0.03462929095926672
RO,NHITS,160.29375203450522,36727.764418408275,0.023889092142161266
RO,NBEATS,147.4146728515625,34971.96115848422,0.021906255717919376
RO,AutoMLP,199.9544677734375,58715.678981125355,0.030389910216888943
RO,AutoNHITS,175.745849609375,42322.138672441244,0.026251365357839077
RO,AutoNBEATS,143.80428059895834,33745.37835226456,0.021509199183693654
RO,TFT,309.21790568033856,127256.09940342605,0.04582808083873143
RO,Autoformer,606.1920979817709,571222.9581650198,0.0982918824406477
RO,PatchTST,126.96924845377605,25515.84725265205,0.01912044116863093
RO,AutoTFT,276.19256591796875,119730.01195451617,0.03866884878186462
RO,TimesNet,464.7177327473958,326204.0259881119,0.07410606372949716
RO,AutoTimesNet,250.2512003580729,103512.33182946841,0.037837128329226366
