Horizon,Input_Size,Train_Steps,Series_ID,Model,MAE,MSE
24,48,100,Combined,NHITS,249.68113538953992,99660.11369232833
24,48,100,Combined,NBEATS,229.62740071614584,85327.40775745775
24,48,100,Combined,TimesNet,218.808837890625,77631.42893251115
24,48,100,BE,NHITS,299.5228678385417,125399.15484086673
24,48,100,BE,NBEATS,309.9404703776042,137575.67095184326
24,48,100,BE,TimesNet,281.14398193359375,131924.99435804287
24,48,100,PT,NHITS,282.09596761067706,129420.38919056456
24,48,100,PT,NBEATS,201.9277140299479,68625.52121328314
24,48,100,PT,TimesNet,169.0208943684896,38690.52661780516
24,48,100,RO,NHITS,167.42457071940103,44160.79704555372
24,48,100,RO,NBEATS,177.0140177408854,49781.031107246876
24,48,100,RO,TimesNet,206.26163736979166,62278.765821685396
24,48,200,Combined,NHITS,234.9402092827691,89011.8026016901
24,48,200,Combined,NBEATS,221.66643948025174,75329.29676588542
24,48,200,Combined,TimesNet,251.8322957356771,99672.20404407714
24,48,200,BE,NHITS,310.5995279947917,140513.80880113444
24,48,200,BE,NBEATS,297.5660807291667,124846.12696170807
24,48,200,BE,TimesNet,334.98549397786456,178663.1667408347
24,48,200,PT,NHITS,240.34976196289062,89902.74169054131
24,48,200,PT,NBEATS,186.81511433919272,53953.46218174199
24,48,200,PT,TimesNet,225.42584228515625,68813.16858600576
24,48,200,RO,NHITS,153.871337890625,36618.85731339455
24,48,200,RO,NBEATS,180.61812337239584,47188.301154206194
24,48,200,RO,TimesNet,195.0855509440104,51540.27680539092
24,48,300,Combined,NHITS,193.8635457356771,63432.14085609383
24,48,300,Combined,NBEATS,232.2964341905382,84770.81580844853
24,48,300,Combined,TimesNet,240.87757364908853,91652.80338945819
24,48,300,BE,NHITS,249.28734334309897,95313.9248650521
24,48,300,BE,NBEATS,307.3074951171875,137673.18615046144
24,48,300,BE,TimesNet,316.64288330078125,159311.72878997526
24,48,300,PT,NHITS,184.5352579752604,58692.80332199732
24,48,300,PT,NBEATS,208.3507283528646,69718.8142909805
24,48,300,PT,TimesNet,185.6783243815104,52526.236526091896
24,48,300,RO,NHITS,147.76803588867188,36289.69438123206
24,48,300,RO,NBEATS,181.2310791015625,46920.44698390365
24,48,300,RO,TimesNet,220.31151326497397,63120.44485230744
24,96,100,Combined,NHITS,238.90405951605902,89937.67352423404
24,96,100,Combined,NBEATS,206.5577189127604,69182.506419758
24,96,100,Combined,TimesNet,372.7168714735243,222200.27134989036
24,96,100,BE,NHITS,270.40248616536456,105965.90265295903
24,96,100,BE,NBEATS,241.0189412434896,88213.97721542914
24,96,100,BE,TimesNet,393.0064188639323,238543.2037392209
24,96,100,PT,NHITS,286.0159403483073,127119.35350133479
24,96,100,PT,NBEATS,231.23954264322916,84361.58088536064
24,96,100,PT,TimesNet,254.99213663736978,95979.52926456432
24,96,100,RO,NHITS,160.29375203450522,36727.764418408275
24,96,100,RO,NBEATS,147.4146728515625,34971.96115848422
24,96,100,RO,TimesNet,470.1520589192708,332078.08104588586
24,96,200,Combined,NHITS,200.09750705295139,65876.19657681716
24,96,200,Combined,NBEATS,169.87615627712674,45843.980338843336
24,96,200,Combined,TimesNet,295.19092135959204,140383.7152966145
24,96,200,BE,NHITS,273.0176595052083,108486.17236117522
24,96,200,BE,NBEATS,228.51917521158853,76402.6138394326
24,96,200,BE,TimesNet,229.9158732096354,86812.87680556376
24,96,200,PT,NHITS,188.22896321614584,59616.904946794115
24,96,200,PT,NBEATS,137.44136555989584,32477.287650197744
24,96,200,PT,TimesNet,283.25205485026044,115807.97997199495
24,96,200,RO,NHITS,139.0458984375,29525.512422482174
24,96,200,RO,NBEATS,143.66792805989584,28652.039526899654
24,96,200,RO,TimesNet,372.4048360188802,218530.28911228478
24,96,300,Combined,NHITS,179.139892578125,54912.84385048019
24,96,300,Combined,NBEATS,165.0880364312066,46940.95607933236
24,96,300,Combined,TimesNet,244.2511223687066,96240.56375780205
24,96,300,BE,NHITS,255.4752197265625,96108.06567505996
24,96,300,BE,NBEATS,252.3829142252604,92601.90143209696
24,96,300,BE,TimesNet,241.03893025716147,106095.60173370938
24,96,300,PT,NHITS,157.53333536783853,45068.320351397
24,96,300,PT,NBEATS,129.5580037434896,28817.968197196722
24,96,300,PT,TimesNet,194.7802937825521,50362.94290383657
24,96,300,RO,NHITS,124.41112263997395,23562.145524983604
24,96,300,RO,NBEATS,113.3231913248698,19402.998608703416
24,96,300,RO,TimesNet,296.93414306640625,132263.1466358602
24,192,100,Combined,NHITS,329.6158277723524,181478.34667928517
24,192,100,Combined,NBEATS,334.8675537109375,185378.25439817377
24,192,100,Combined,TimesNet,339.35727945963544,185612.27722719975
24,192,100,BE,NHITS,522.6638387044271,369514.1706320743
24,192,100,BE,NBEATS,525.2443644205729,377401.728684475
24,192,100,BE,TimesNet,414.0443115234375,241417.25067543983
24,192,100,PT,NHITS,268.498046875,112043.62211100261
24,192,100,PT,NBEATS,280.8981018066406,119324.69718486567
24,192,100,PT,TimesNet,392.44677734375,251953.53574743867
24,192,100,RO,NHITS,197.68559773763022,62877.24729477862
24,192,100,RO,NBEATS,198.46019490559897,59408.33732518057
24,192,100,RO,TimesNet,211.58074951171875,63466.04525872072
24,192,200,Combined,NHITS,245.95116509331598,103364.38830766082
24,192,200,Combined,NBEATS,258.57775539822046,110126.46266946693
24,192,200,Combined,TimesNet,291.6561041937934,127158.89462103281
24,192,200,BE,NHITS,378.57253011067706,206857.742205441
24,192,200,BE,NBEATS,383.6937255859375,209115.4070788622
24,192,200,BE,TimesNet,340.37961832682294,163746.29359581074
24,192,200,PT,NHITS,207.73300170898438,66786.72095571458
