Horizon,Input_Size,Train_Steps,Model,MAE,MSE
24,48,100,NHITS,4766.8496500651045,52855999.35432013
24,48,100,NBEATS,3628.9650065104165,31676080.391789276
24,48,100,TimesNet,4334.8139241536455,29187109.740995485
24,48,200,NHITS,2292.8609619140625,14098255.829866966
24,48,200,NBEATS,1180.3755696614583,3483567.710266908
24,48,200,TimesNet,3085.7864990234375,14724001.88759303
24,48,300,NHITS,1082.2921956380208,2549833.584761858
24,48,300,NBEATS,954.9491780598959,2342283.494012276
24,48,300,TimesNet,2306.5492350260415,8223109.866587162
24,96,100,NHITS,4020.6217447916665,31233669.357916195
24,96,100,NBEATS,1979.7449951171875,7099960.188447873
24,96,100,TimesNet,3709.9337158203125,25485443.389679033
24,96,200,NHITS,1689.4994710286458,5662078.419868708
24,96,200,NBEATS,1460.9896240234375,4459282.487181584
24,96,200,TimesNet,2410.2517903645835,8751207.259770075
24,96,300,NHITS,1469.1473795572917,4392563.780840556
24,96,300,NBEATS,1282.8936767578125,3812879.6987478733
24,96,300,TimesNet,1575.2116292317708,4614766.438529889
24,192,100,NHITS,2473.3905436197915,11231145.952742418
24,192,100,NBEATS,2230.7686360677085,9514971.864496866
24,192,100,TimesNet,2084.9259440104165,6432416.442543189
24,192,200,NHITS,1906.4852294921875,6806691.691780329
24,192,200,NBEATS,1848.7582194010417,6749885.182431698
24,192,200,TimesNet,1780.3343505859375,5461557.855166356
24,192,300,NHITS,1747.3529052734375,5970483.883698543
24,192,300,NBEATS,1566.7269287109375,4778848.018558741
24,192,300,TimesNet,1818.7107747395833,5587577.532658736
48,96,100,NHITS,2323.703898111979,10104400.336073318
48,96,100,NBEATS,1577.4454956054688,5118115.230730335
48,96,100,TimesNet,3227.132609049479,18803942.16509207
48,96,200,NHITS,1209.528564453125,3571245.9627489247
48,96,200,NBEATS,1268.860595703125,3682386.3154776893
48,96,200,TimesNet,1707.4427490234375,6137207.32822752
48,96,300,NHITS,1191.3221028645833,3278153.0840856233
48,96,300,NBEATS,1059.7137451171875,3043463.71439298
48,96,300,TimesNet,1633.7823486328125,4716926.176793337
48,192,100,NHITS,1398.0007731119792,4861805.960405906
48,192,100,NBEATS,1412.5404052734375,4715255.35931166
48,192,100,TimesNet,1507.192403157552,4309765.449915369
48,192,200,NHITS,1296.7262776692708,4225618.457829158
48,192,200,NBEATS,1186.435791015625,3546361.741904815
48,192,200,TimesNet,1245.5347696940105,3057227.74596409
48,192,300,NHITS,1204.8748982747395,3630535.6757963896
48,192,300,NBEATS,1127.253397623698,3326665.1904610395
48,192,300,TimesNet,1128.5900268554688,2904876.810543895
48,384,100,NHITS,1469.7272542317708,5179466.038838466
48,384,100,NBEATS,1583.5781860351562,5437237.229170203
48,384,100,TimesNet,1521.7218221028645,4320667.136336923
48,384,200,NHITS,1317.5031331380208,3879904.372793118
48,384,200,NBEATS,1343.0073852539062,3969577.916309794
48,384,200,TimesNet,1331.1619059244792,3836423.1689005694
48,384,300,NHITS,1212.4176635742188,3258323.2676655054
48,384,300,NBEATS,1193.7909749348958,3292437.9443643093
48,384,300,TimesNet,1258.609619140625,3325124.459050735
96,192,100,NHITS,1275.026875813802,3364852.169001142
96,192,100,NBEATS,1279.0148417154949,3075923.9125499525
96,192,100,TimesNet,1631.7612813313801,4578323.929041207
96,192,200,NHITS,1297.8908386230469,3025290.7873447933
96,192,200,NBEATS,1217.2695922851562,2860607.076063474
96,192,200,TimesNet,1388.9158426920574,3626602.698438982
96,192,300,NHITS,1135.8511149088542,2489981.272421082
96,192,300,NBEATS,1199.9686075846355,2694490.51982522
96,192,300,TimesNet,1214.0085042317708,2767423.557108084
96,384,100,NHITS,1247.4082336425781,3134147.745165964
96,384,100,NBEATS,1302.2537231445312,3624021.666059335
96,384,100,TimesNet,1863.7557169596355,5647912.067284226
96,384,200,NHITS,1153.3879801432292,2667946.451075355
96,384,200,NBEATS,1352.1628824869792,3161962.370647073
96,384,200,TimesNet,1234.8575236002605,3200515.74234128
96,384,300,NHITS,1307.4739176432292,2995839.305521369
96,384,300,NBEATS,1262.7124430338542,2857036.562688748
96,384,300,TimesNet,1132.9485575358074,2510467.784144143
96,768,100,NHITS,1504.9097391764324,4334783.131537735
96,768,100,NBEATS,1676.7140808105469,5906663.775883813
96,768,100,TimesNet,1588.8016662597656,4609369.214677751
96,768,200,NHITS,1214.2700602213542,2764744.1669015884
96,768,200,NBEATS,1289.5831705729167,2813547.262006005
96,768,200,TimesNet,1410.0801595052083,3677406.847121795
96,768,300,NHITS,1089.0404663085938,2251068.879006108
96,768,300,NBEATS,1356.9238789876301,3025534.507762134
96,768,300,TimesNet,1500.91259765625,3785587.448191444
